,Actual,402,403,404,405
5,-0.193977356,-0.069988159,-0.050765426,-0.028618449,-0.075332959
6,-0.196037292,-0.050734202,-0.068746736,-0.029257226,-0.052225987
6,-0.196037292,-0.067289897,-0.06473902,-0.067759857,-0.072340594
6,-0.196037292,-0.099379372,-0.039233756,-0.100783266,-0.055418806
6,-0.196037292,-0.10823387,-0.048701573,-0.060305692,-0.094044334
6,-0.196037292,-0.094272771,-0.034211415,-0.054113099,-0.096676873
6,-0.196037292,-0.089703385,-0.038782471,-0.076613151,-0.085802328
6,-0.196037292,-0.099771879,-0.045546608,-0.074289115,-0.085802328
6,-0.196037292,-0.083024119,-0.067348213,-0.103004893,-0.042534784
6,-0.196037292,-0.061639352,-0.082341778,-0.116216634,0.001562154
6,-0.196037292,-0.044723411,-0.077463735,-0.10706773,-0.050789407
6,-0.196037292,-0.026003029,-0.079391982,-0.058024201,-0.086500919
6,-0.196037292,-0.062391949,-0.111000455,-0.043123266,-0.063812355
6,-0.196037292,-0.049563681,-0.087383437,-0.062496556,-0.096047624
6,-0.196037292,-0.040440398,-0.084052401,-0.0651904,-0.090392423
6,-0.196037292,-0.009730393,-0.083085338,-0.074728902,-0.077334174
6,-0.196037292,-0.028109413,-0.087858582,-0.052214548,-0.081970155
6,-0.196037292,-0.029328883,-0.077314142,-0.085680916,-0.066106787
6,-0.196037292,-0.057393777,-0.086544628,-0.119600987,-0.009599048
6,-0.196037292,-0.036389017,-0.118596907,-0.098518016,-0.033288279
6,-0.196037292,-0.036389017,-0.10039914,-0.08854013,-0.048679642
6,-0.196037292,-0.046388686,-0.10012348,-0.049842649,-0.087689862
6,-0.196037292,-0.096295389,-0.079676871,-0.030314019,-0.087689862
6,-0.196037292,-0.119067775,-0.118070263,-0.053831747,-0.05010148
6,-0.196037292,-0.096324046,-0.135327893,-0.041054442,-0.075805072
7,-0.228996277,-0.097432627,-0.04662634,-0.046105559,-0.108401347
7,-0.228996277,-0.103108982,-0.047757325,-0.061737313,-0.070292286
7,-0.228996277,-0.116831654,-0.049416719,-0.07597986,-0.051141512
7,-0.228996277,-0.024967141,-0.049416719,-0.085999816,-0.059006486
7,-0.228996277,-0.043716488,-0.019712413,-0.088529721,-0.092735674
7,-0.228996277,-0.056366877,-0.042330163,-0.06838237,-0.086598321
7,-0.228996277,-0.056366877,-0.015578615,-0.067924325,-0.032618235
7,-0.228996277,-0.020245695,-0.044423292,-0.074976804,-0.010132721
7,-0.228996277,0.00074997,-0.092342649,-0.061619362,-0.051145569
7,-0.228996277,-0.034332282,-0.099663295,-0.067250032,-0.045444216
7,-0.228996277,-0.060723681,-0.099663295,-0.085210437,-0.07491849
7,-0.228996277,-0.020374986,-0.085177444,-0.022690748,-0.087969343
7,-0.228996277,-0.040399449,-0.081203281,-0.056295484,-0.069479378
7,-0.228996277,-0.075979971,-0.110450726,-0.062681986,-0.070005397
7,-0.228996277,-0.051286662,-0.067524796,-0.063573957,-0.061881966
7,-0.228996277,-0.069325084,-0.051100411,-0.024243056,-0.002952613
7,-0.228996277,-0.117203119,-0.101571744,0.003582729,6.32E-05
7,-0.228996277,-0.111470327,-0.09841176,-0.048190381,0.04067633
7,-0.228996277,-0.109284475,-0.071428472,-0.04352669,0.005367225
7,-0.228996277,-0.048368904,-0.022962421,-0.0207329,-0.052317
7,-0.228996277,-0.031938243,-0.073830937,-0.048917532,-0.092179303
7,-0.228996277,-0.047774285,-0.052891851,-0.030149103,-0.108053719
7,-0.228996277,-0.086352947,-0.029897889,-0.009156875,-0.096741494
7,-0.228996277,-0.065904523,-0.004989915,-0.023681103,-0.0783869
7,-0.228996277,-0.078759454,-0.053364115,-0.052560753,-0.052885286
8,-0.207710266,-0.127209827,-0.078429366,-0.034219744,-0.098050731
8,-0.207710266,-0.083904644,-0.059600364,-0.040773813,-0.08386135
8,-0.207710266,-0.071089306,-0.077801811,-0.070053056,-0.027303268
8,-0.207710266,-0.092520404,-0.118132871,-0.072686762,-0.096873069
8,-0.207710266,-0.103213837,-0.103002349,-0.091674589,-0.118961859
8,-0.207710266,-0.059432625,-0.096079004,-0.096498584,-0.09584289
8,-0.207710266,-0.088122686,-0.11375344,-0.100552838,-0.033733578
8,-0.207710266,-0.049648741,-0.103033151,-0.115534512,-0.092617549
8,-0.207710266,-0.067668891,-0.150261165,-0.113842867,-0.082700899
8,-0.207710266,-0.052887581,-0.162457582,-0.078771666,-0.121042657
8,-0.207710266,-0.027723869,-0.159684971,-0.08627572,-0.062064016
9,-0.143165588,-0.031561604,-0.145049971,-0.1046763,-0.083492784
9,-0.143165588,-0.031561604,-0.133452932,-0.113813791,-0.092275984
9,-0.143165588,-0.035460181,-0.113774401,-0.103126315,-0.11391266
9,-0.143165588,-0.06558865,-0.123419369,-0.068580515,-0.042632533
9,-0.143165588,-0.03971382,-0.12707502,-0.091884492,-0.080629359
9,-0.143165588,-0.03971468,-0.153412578,-0.103298903,-0.072384895
9,-0.143165588,-0.023262036,-0.138703671,-0.103298903,-0.101989043
9,-0.143165588,-0.066479496,-0.132670648,-0.11426492,-0.08830136
9,-0.143165588,-0.035527799,-0.149574548,-0.082229351,-0.103264096
9,-0.143165588,0.000140196,-0.146385293,-0.082229351,-0.098260904
9,-0.143165588,-0.013068794,-0.128619463,-0.101521621,-0.098103291
9,-0.143165588,-0.065219615,-0.127224156,-0.052920131,-0.078040468
9,-0.143165588,-0.093035052,-0.125502264,-0.076719665,-0.073675743
9,-0.143165588,-0.087816304,-0.126399913,-0.099239406,-0.040899263
9,-0.143165588,-0.081864787,-0.120285928,-0.050080823,-0.063368022
9,-0.143165588,-0.032743925,-0.146305567,-0.03981365,-0.054446705
9,-0.143165588,-0.049520066,-0.056923649,-0.054115453,-0.068162945
9,-0.143165588,-0.027200489,-0.059082241,-0.074410998,-0.068162945
9,-0.143165588,-0.055939704,-0.068072853,-0.066138385,-0.060838834
10,-0.015449524,-0.065921624,-0.040585121,-0.078556532,-0.060951343
10,-0.015449524,-0.064681885,-0.02890484,-0.043429429,-0.076544913
10,-0.015449524,-0.049353981,0.003753571,-0.06256618,-0.039989681
10,-0.015449524,-0.0137853,-0.020797959,-0.046461036,-0.024833039
10,-0.015449524,-0.079581764,-0.051433949,-0.028651198,-0.021405674
10,-0.015449524,-0.036048272,-0.053547503,-0.040357288,-0.043335912
10,-0.015449524,-0.012910303,-0.024315406,-0.022521818,-0.029476182
10,-0.015449524,-0.012910303,-0.025702721,0.021432119,-0.018512981
10,-0.015449524,0.011579571,0.000876204,-0.02126646,-0.011249417
10,-0.015449524,-0.035429702,-0.01427943,-0.038025777,-0.031237712
10,-0.015449524,-0.00385808,0.043785534,-0.041555046,-0.022014376
10,-0.015449524,-0.007756552,-0.010984867,-0.043905895,-0.032667193
10,-0.015449524,-0.035162883,0.002828406,-0.030588703,0.027024777
10,-0.015449524,-0.023278013,0.002762393,-0.006406917,0.022225852
10,-0.015449524,0.018060162,0.004978239,0.029168625,0.011536596
10,-0.015449524,0.018060162,0.019805769,0.02016923,0.062807308
10,-0.015449524,0.022406931,0.007482046,0.000546988,0.086454487
10,-0.015449524,0.051403362,0.024437988,0.018711544,0.049867019
10,-0.015449524,0.013466101,0.052414718,0.018711544,0.046333938
10,-0.015449524,0.009958396,0.067264018,0.05428251,0.042358848
11,0.07724762,0.018575265,0.042578709,0.038340392,0.063642897
11,0.07724762,0.018575265,0.041583234,0.026325714,0.096943775
11,0.07724762,0.054695734,0.017185473,0.026964822,0.091540422
11,0.07724762,0.078205818,0.014302933,0.02882565,0.092198338
11,0.07724762,0.121892334,0.012606721,0.058793779,0.116263485
11,0.07724762,0.103010703,0.071501069,0.00851091,0.090461003
11,0.07724762,0.100446247,0.037038292,0.024738772,0.133726643
11,0.07724762,0.064672771,0.039094326,-0.013641472,0.13861506
11,0.07724762,0.077401949,0.03578063,-0.00103819,0.12385837
11,0.07724762,0.091879758,0.034750993,-0.011126234,0.105402906
11,0.07724762,0.12802148,0.018932368,0.02806754,0.098818074
11,0.07724762,0.112130857,0.042234439,0.023515773,0.129669819
11,0.07724762,0.08902008,0.035431409,0.045988561,0.100926811
11,0.07724762,0.075234643,0.017998343,0.036771327,0.100424996
11,0.07724762,0.074013365,0.043357892,0.04373109,0.10234405
11,0.07724762,0.101293472,0.005677857,0.075009628,0.068691945
11,0.07724762,0.081542159,-0.005412968,0.097475881,0.062642573
11,0.07724762,0.036570458,0.02582458,0.116368937,0.06641148
11,0.07724762,0.038600663,0.041890499,0.033600838,0.081614886
11,0.07724762,0.006735259,0.057410552,0.007796518,0.054647857
11,0.07724762,0.006197547,0.068120141,0.016750934,0.046021723
12,0.075874329,0.01228003,0.067355598,0.044188459,0.041758802
12,0.075874329,-0.002299223,0.026215072,0.016416677,0.077962841
12,0.075874329,0.020589828,0.011656353,0.013139133,0.033972355
12,0.075874329,0.005364679,0.011528622,-0.003282603,0.03250394
12,0.075874329,0.046187907,0.019953562,0.011383174,0.007811083
12,0.075874329,0.068522712,0.019953562,-0.003464664,0.027691156
12,0.075874329,0.04920435,0.024575918,-0.018685482,0.038659896
12,0.075874329,0.058670472,0.026814842,-0.022478585,0.090040044
12,0.075874329,0.036245702,0.019228628,0.010387864,0.04995403
12,0.075874329,0.01575855,0.037715142,0.004179728,0.053600289
12,0.075874329,0.032930521,0.013557162,-0.010753499,0.081078057
12,0.075874329,0.027560843,-0.00617594,0.001578614,0.067530719
12,0.075874329,0.018359898,0.009873989,0.047692983,0.049594385
12,0.075874329,0.047671164,0.009873989,0.051002509,0.049594385
12,0.075874329,0.07724593,0.039795657,0.028486118,0.069350301
12,0.075874329,0.046951672,0.027592524,0.008139093,0.08473684
12,0.075874329,0.037695098,0.02822604,0.028960057,0.05680083
12,0.075874329,0.02901417,0.040800125,-0.012404678,0.043778829
1,0.058067016,-0.008192327,0.059981267,0.000295949,0.072453555
1,0.058067016,0.041616146,0.039089165,0.031272266,0.081656551
1,0.058067016,0.033083078,-0.028488036,0.078498266,0.082721307
1,0.058067016,0.065483343,0.004804861,0.051857233,0.082721307
1,0.058067016,0.075187427,0.01978422,0.051857233,0.108652743
1,0.058067016,0.093136039,0.028144568,0.058229739,0.048406889
1,0.058067016,0.093136039,0.016736102,0.059846609,0.020255849
1,0.058067016,0.110151973,0.007274313,0.019932901,0.010991286
1,0.058067016,0.08577747,0.027120821,0.038165859,0.051175732
1,0.058067016,0.100058807,0.026630346,0.040063493,0.052249887
1,0.058067016,0.079449841,0.011821984,0.051648087,0.040409299
1,0.058067016,0.071265932,-0.019836927,0.060513529,0.040409299
1,0.058067016,0.018475641,0.016880284,0.063165228,0.012934081
1,0.058067016,0.028412322,-0.000454875,0.071753026,0.061634626
1,0.058067016,0.028412322,-0.000454875,0.062973769,0.051001987
1,0.058067016,0.033629451,0.007370953,0.04584301,0.042699761
