,Actual,402,403,404,405
2,0.118910763,0.115868657,0.120684569,0.106123921,0.073343567
2,0.118910763,0.08206791,0.133390761,0.102941836,0.080285432
2,0.118910763,0.146362034,0.115588576,0.103465181,0.059614939
2,0.118910763,0.12457419,0.160178337,0.071093056,0.075280274
2,0.118910763,0.101559125,0.141388902,0.040351042,0.056272737
2,0.118910763,0.112493869,0.106198737,0.053216408,0.094975051
2,0.118910763,0.106806577,0.08842902,0.039650481,0.127168325
2,0.118910763,0.115854911,0.135216136,0.074334075,0.117282655
2,0.118910763,0.089907053,0.088033709,0.069798514,0.102355822
2,0.118910763,0.107730676,0.128726849,0.032227104,0.097388676
2,0.118910763,0.084502239,0.122706326,0.067228721,0.123336693
2,0.118910763,0.071512891,0.131203073,0.083803474,0.087628325
2,0.118910763,0.112650129,0.121776297,0.063655173,0.088283954
2,0.118910763,0.05478385,0.107185886,0.072999447,0.084125681
2,0.118910763,0.090240591,0.076992434,0.068309109,0.074954558
2,0.118910763,0.09068054,0.065570313,0.126921857,0.039144291
2,0.118910763,0.098623512,0.080361142,0.125567974,0.065139102
2,0.118910763,0.10071744,0.092364191,0.115061062,0.082708287
2,0.118910763,0.106353015,0.091866238,0.097669273,0.084437211
2,0.118910763,0.113490691,0.120735097,0.096501582,0.113538566
2,0.118910763,0.119452592,0.123412742,0.099316583,0.12629044
2,0.118910763,0.114934505,0.138688614,0.113557684,0.142095102
2,0.118910763,0.091588223,0.148060174,0.111095296,0.111269814
2,0.118910763,0.138085011,0.165256879,0.113903051,0.153475286
2,0.118910763,0.146773789,0.172198492,0.111386197,0.126194551
2,0.118910763,0.119597845,0.173969402,0.137605605,0.150355223
2,0.118910763,0.137295017,0.106056875,0.171823197,0.156945039
2,0.118910763,0.108066354,0.121027088,0.126681842,0.109372432
2,0.118910763,0.117866987,0.094236103,0.083332479,0.120620409
3,0.281694002,0.100302467,0.135144781,0.102898611,0.116002456
3,0.281694002,0.117124532,0.114632959,0.122980274,0.100292503
3,0.281694002,0.142617596,0.121718101,0.096091651,0.087478382
3,0.281694002,0.097766304,0.086060352,0.123986751,0.090130161
3,0.281694002,0.117988988,0.102760931,0.11691768,0.081394329
3,0.281694002,0.118191755,0.130399436,0.153478415,0.077953138
3,0.281694002,0.163433901,0.168246664,0.153258908,0.111474919
3,0.281694002,0.158846206,0.178146406,0.140565111,0.121314487
3,0.281694002,0.152742864,0.136750546,0.170092256,0.121314487
3,0.281694002,0.116692295,0.122495462,0.15885259,0.120594135
3,0.281694002,0.111741574,0.13748493,0.106280424,0.10715563
3,0.281694002,0.087715767,0.149523824,0.110160968,0.053862629
3,0.281694002,0.129324518,0.154896254,0.130579701,0.095919099
3,0.281694002,0.159825832,0.131072796,0.125933717,0.110009175
3,0.281694002,0.118491515,0.147969641,0.094412155,0.130420026
3,0.281694002,0.118491515,0.141728911,0.096466502,0.13596499
3,0.281694002,0.056503229,0.068665271,0.112884133,0.152652921
3,0.281694002,0.07937117,0.102147886,0.105172234,0.111632321
3,0.281694002,0.099084545,0.129746023,0.107716629,0.127830927
3,0.281694002,0.102137952,0.072998464,0.129730897,0.120650596
3,0.281694002,0.052934016,0.104618058,0.062839119,0.07342204
3,0.281694002,0.077027687,0.123814009,0.082738757,0.124711362
3,0.281694002,0.0969316,0.11748329,0.09236559,0.102422396
3,0.281694002,0.111126739,0.108830019,0.095148836,0.066447274
4,0.12307993,0.100108741,0.086987158,0.087752285,0.070144805
4,0.12307993,0.096063846,0.060652679,0.113546472,0.046785981
4,0.12307993,0.106039987,0.06982794,0.130979457,0.048611598
4,0.12307993,0.104868192,0.115047539,0.130481887,0.040534553
4,0.12307993,0.079744602,0.075185892,0.129894639,0.053639026
4,0.12307993,0.107492017,0.089003337,0.134498772,0.07802958
4,0.12307993,0.113293225,0.091384099,0.11772695,0.085358233
4,0.12307993,0.128352074,0.0971656,0.138767376,0.070865684
4,0.12307993,0.115942039,0.088353555,0.13415427,0.070688793
4,0.12307993,0.110546755,0.0483636,0.107603702,0.060998948
4,0.12307993,0.084409455,0.051563417,0.085408443,0.062846115
4,0.12307993,0.10032706,0.065243722,0.070116051,0.069410096
4,0.12307993,0.082996053,0.062378385,0.097703622,0.064539144
4,0.12307993,0.099836584,0.10465561,0.080675824,0.111197825
